Index;date_demande;formule;points_perdus;tranches_age;classes_revenu;a_enfants;type_conduite;type_vehicule;usage_vehicule
0;2022-02-25 16:13:38;dev_integral;0;jeune;+100K;Oui;Highly Urban/ Urban;Sports Car;Commercial
1;2022-05-24 21:07:34;dev_express;2;agé;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
2;2022-01-24 08:17:21;dev_express;0;adulte;"[0;25K]";Oui;z_Highly Rural/ Rural;Pickup;Private
3;2022-04-20 03:46:00;dev_integral;3;jeune;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
4;2022-03-23 01:32:40;dev_vip;2;agé;"[0;25K]";Non;Highly Urban/ Urban;Panel Truck;Commercial
5;2022-03-23 22:20:50;dev_premium;2;jeune;"[+75K;100K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
6;2022-03-13 01:10:59;dev_express;0;agé;+100K;Oui;z_Highly Rural/ Rural;Minivan;Commercial
7;2022-03-09 03:43:53;dev_premium;1;agé;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
8;2022-01-29 10:17:49;dev_premium;0;agé;+100K;Non;Highly Urban/ Urban;Minivan;Private
9;2022-03-26 07:37:33;dev_integral;1;adulte;"[0;25K]";Non;Highly Urban/ Urban;Panel Truck;Commercial
10;2022-05-26 05:51:37;dev_express;0;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Minivan;Private
11;2022-01-27 09:33:29;dev_premium;0;jeune;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
12;2022-05-08 13:32:05;dev_express;0;agé;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
13;2022-05-02 08:44:46;dev_integral;5;jeune;"[0;25K]";Non;z_Highly Rural/ Rural;Van;Commercial
14;2022-04-15 13:09:59;dev_integral;0;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Private
15;2022-05-11 02:24:06;dev_express;0;agé;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
16;2022-04-12 01:20:55;dev_integral;0;adulte;+100K;Non;Highly Urban/ Urban;z_SUV;Private
17;2022-03-04 09:15:11;dev_express;1;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Van;Commercial
18;2022-02-05 17:39:22;dev_express;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
19;2022-04-25 14:43:44;dev_integral;0;agé;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Private
20;2022-03-20 03:44:21;dev_express;0;adulte;"[+50K;75K]";Oui;z_Highly Rural/ Rural;Minivan;Private
21;2022-03-27 09:22:22;dev_premium;1;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Private
22;2022-05-16 02:39:00;dev_premium;0;jeune;"[0;25K]";Non;Highly Urban/ Urban;Van;Commercial
23;2022-02-06 07:52:56;dev_premium;5;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Sports Car;Commercial
24;2022-04-27 15:06:48;dev_express;1;jeune;"[0;25K]";Non;Highly Urban/ Urban;Pickup;Commercial
25;2022-04-13 00:52:49;dev_express;1;agé;"[0;25K]";Non;z_Highly Rural/ Rural;Minivan;Private
26;2022-03-22 13:32:35;dev_integral;0;jeune;"[+25K;50K]";Non;z_Highly Rural/ Rural;Sports Car;Private
27;2022-04-22 03:39:47;dev_integral;5;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
28;2022-03-23 22:44:16;dev_vip;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
29;2022-02-12 20:23:14;dev_premium;0;jeune;+100K;Non;Highly Urban/ Urban;z_SUV;Private
30;2022-01-14 07:11:19;dev_express;0;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Private
31;2022-04-09 11:49:01;dev_integral;6;adulte;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Minivan;Commercial
32;2022-03-23 06:12:09;dev_express;3;agé;+100K;Non;Highly Urban/ Urban;z_SUV;Private
33;2022-02-04 17:14:57;dev_premium;2;jeune;"[+25K;50K]";Non;z_Highly Rural/ Rural;z_SUV;Private
34;2022-02-05 18:50:01;dev_express;0;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Sports Car;Private
35;2022-02-08 09:59:30;dev_integral;0;agé;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
36;2022-02-06 22:30:39;dev_express;0;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Sports Car;Commercial
37;2022-02-09 14:28:28;dev_integral;2;jeune;"[+75K;100K]";Oui;Highly Urban/ Urban;z_SUV;Private
